"id","type","form","gloss","pos","pos_condition","comment"
,"suffix","-am","? 1PL / PRS.1PL","? CL.AGR / V.AGR",,
,"suffix","-ām","? 1PL / PRS.1PL","? CL.AGR / V.AGR",,
,"suffix","-yam","? 1PL / PRS.1PL","? CL.AGR / V.AGR",,
,"suffix","-yām","? 1PL / PRS.1PL","? CL.AGR / V.AGR",,
,"suffix","-um","? 1SG / PRS.1SG / ORD","? CL.AGR / V.AGR / N.AFF",,
,"suffix","-yum","? 1SG / PRS.1SG / ORD","? CL.AGR / V.AGR / N.AFF",,
,"suffix","-et","? 2PL / PRS.2PL","? CL.AGR / V.AGR",,
,"suffix","-yet","? 2PL / PRS.2PL","? CL.AGR / V.AGR",,
,"suffix","-i","? 3SG / SUBST / ADJ / PRS.2SG / EZ","? CL.AGR / N.AFF / V.AGR / POST",,
,"suffix","-yi","? 3SG / SUBST / ADJ / PRS.2SG / EZ","? CL.AGR / N.AFF / V.AGR / POST",,
,"suffix","-yaθ","? ADV / INT","? PRT",,
,"suffix","-aθ","? ADV / INT","? PRT",,"адвербиализатор (‘хорошо’)"
,"suffix","-θ","? ADV / INT","? PRT",,"адвербиализатор (‘хорошо’)"
,,"dām","? back / breath / blow_fire","? N / V",,
,"verb","ve","? be","? V",,
,"verb","v","? be / PTCL","? V / PRT",,
,"verb","vārδ","? be_able","? V",,
,"verb","va","? be.F/PL / PROL / PTCL","? V / POST / PRT",,
,"verb","s","? become / go","? V",,
,"verb","sů","? become / go","V",,
,"verb","sāw","? become / go","V",,
,"verb","suδ","? become / go","V",,
,"verb","si","? become / go","V",,
,"verb","sit","? become / go","V",,
,"verb","sa","? become.F/PL / go.F/PL / become / go","V",,
,"verb","su","? become.M.SG / go.M.SG","V",,
,"verb","vār","? bring","? V",,
,"verb","vū","? bring","? V",,
,"verb","vī","? bring","? V",,
,"verb","vā","? bring","? V",,
,"prefix","be-","? CARIT","PREP",,
,"verb","yos","? carry","? V",,
,"verb","yês","? carry","? V",,
,"verb","yê","? carry","? V",,
,"verb","sifī","? climb_up / climb_up.M.SG / climb_up.F/PL","V",,
,"verb","ya","? come","? V",,
,"verb","yoδ","? come / carry","? V",,
,"prefix","ma-","? CONT2 / NEG.IRR","? PREP / V.AFF",,"в основном, сочетается с названиями частей тела (mi-ɣêv ‘во рту’)"
,,"xu","? COORD1 / REFL","? CONJ / PRO",,
,"suffix","-at","? COORD2 / 2SG / PQP","? CONJ / CL.AGR / T",,"аддитивная частица"
,"suffix","-yat","? COORD2 / 2SG / PQP","? CONJ / CL.AGR / T",,"аддитивная частица"
,"suffix","-atā","? COORD3 / TIME2","? CONJ / POST",,"х̌āb-atā (‘ночью’)"
,"suffix","-tā","? COORD3 / TIME2","? CONJ / POST",,"х̌āb-atā (‘ночью’)"
,"suffix","-yatā","? COORD3 / TIME2","? CONJ / POST",,"х̌āb-atā (‘ночью’)"
,,"ām","? COORD5","? CONJ",,
,,"mi","? D1.M.SG.O / CONT2","? DEM / PREP",,"в основном, сочетается с названиями частей тела (mi-ɣêv ‘во рту’)"
,,"yam","? D1.SG / D3.LOC","? DEM / DEM.LOC",,
,,"dam","? D2.F.SG.O / moment","? DEM / N",,
,,"di","? D2.M.SG.O / SUBD2 / hit","? DEM / CONJ / V",,
,,"daδ","? D2.PL / then","? DEM / PRT",,
,,"dāδ","? D2.PL / then","? DEM / PRT",,
,,"id","? D2.SG","DEM",,
,,"ā","? D3.F.SG","DEM",,
,,"am","? D3.LOC / D1.SG (k-am) / COORD5 / calm","? DEM.LOC / DEM / CONJ / N",,
,,"u","? D3.M.SG / D3.M.SG.O","? DEM",,
,"suffix","-ak","? DIM / PTCP2","? N.AFF / NMLZ",,"диминутив (‘собачка’)"
,"suffix","-yak","? DIM / PTCP2","? N.AFF / NMLZ",,"диминутив (‘собачка’)"
,"verb","be","? disappear","? V",,
,"verb","bes","? disappear","? V",,
,"verb","beδ","? disappear","? V",,
,,"o","? DISJ","? CONJ",,
,,"yo","? DISJ / carry","? CONJ / V",,
,"verb","ču","? do.PST","? V",,
,,"ar","? DOWN / every","? PREP / PRO",,"перемещение к ориентиру ниже говорящего (‘в дом / в доме [который ниже]’)"
,"verb","x","? eat","? V",,
,"verb","xū","? eat","? V",,
,"verb","xī","? eat","? V",,
,"verb","xā","? eat","V",,
,"verb","xār","? eat / city","? V / N",,
,"verb","xīr","? eat / sun","? V / N",,
,"verb","de","? enter","? V",,
,"verb","δi","? fall","? V",,
,"verb","δe","? fall","? V",,
,"verb","δo","? fall / give","? V",,
,"verb","δoδ","? fall / give","? V",,
,"verb","δê","? fall / give","? V",,
,,"čor","? four / husband","? NUM / N",,
,,"tā","? FUT","? PRT",,
,"verb","δāδ","? give","? V",,
,"verb","δā","? give","? V",,
,"verb","δī","? give","? V",,
,"verb","δa","? give","? V",,
,"verb","dā","? give","? PV",,
,"verb","x̌u","? hear","? V",,
,"verb","x̌i","? hear","? V",,
,,"daraw","? INC / immediately","? PRT / N",,
,,"darraw","? INC / immediately","? PRT / N",,
,"prefix","i-","? INDEF","? PRO",,
,"prefix","yi-","? INDEF","? PRO",,
,,"i","? INDEF / one","? PRO / NUM",,
,,"yi","? INDEF / one","? PRO / NUM",,
,"verb","anǰ","? keep","? V",,
,"verb","ti","? leave","? V",,
,"verb","tīz","? leave","? V",,
,"verb","toy","? leave.F/PL","? V",,
,"verb","tūy","? leave.M.SG","? V",,
,"verb","lā","? let","? PV",,
,,"to","? LIM1 / SUBD3","? PREP / CONJ",,"лимитатив (‘до сих пор’, ‘до Хорога’)"
,"verb","čis","? look","? V",,
,"verb","čīx̌","? look","? V",,
,,"naw","? new / again / just","? N / PRT",,
,"suffix","-ǰa","? P.LOC / CAUSE","POST",,"посессивный локатив (‘у меня, при мне’)"
,,"ǰa","? P.LOC / CAUSE","POST",,"посессивный локатив (‘у меня, при мне’)"
,"verb","naɣ̌ǰī","? pass / pass.M.SG","V",,
,"verb","naɣ̌ǰā","? pass.F/PL","V",,
,"suffix","-č","? PF / PF.M.SG","T","< V",
,"suffix","-ǰ","? PF / PF.M.SG","T","< V",
,"suffix","-en","? PL / 3PL / PRS.3PL","? N.AFF / CL.AGR / V.AGR",,
,"suffix","-yen","? PL / 3PL / PRS.3PL","? N.AFF / CL.AGR / V.AGR",,
,"prefix","či-","? PROSP / CONT1","? V.AFF / PREP",,"опора на части тела (‘на спине’)"
,,"či","? PROSP / CONT1","? V.AFF / PREP",,"опора на части тела (‘на спине’)"
,"suffix","-m","? PRS.1SG / 1SG / ORD","? V.AGR / CL.AGR / N.AFF",,
,"suffix","-d","? PST / PRS.3SG / INF","? T / V.AGR / NMLZ","< V",
,"suffix","-t","? PST / PRS.3SG / INF / 2SG / COORD2","? T / V.AGR / NMLZ / CL.AGR / CONJ",,
,"suffix","-in","? PTCP1 / ADJ","? NMLZ / N.AFF",,"суффикс причастий прош. вр. от перфектной основы"
,"suffix","-ā","? Q","? PRT",,
,"suffix","-o","? Q / DISJ / COORD3","? PRT / CONJ",,"таджикский сочинительный союз"
,"suffix","-yo","? Q / DISJ / COORD3","? PRT / CONJ",,
,"verb","lu","? say","? V",,
,"verb","nūš","? sit.M.SG","V",,
,"verb","wirūv","? stand / stand.M.SG","V",,
,"verb","zê","? take","? V",,
,"verb","zi","? take","? V",,
