"morph","gloss","pos"
,"1PL","CL.AGR"
,"1SG","CL.AGR"
,"2PL","CL.AGR"
,"2SG","CL.AGR"
,"3PL","CL.AGR"
,"3SG","CL.AGR"
,"ABSTR","N.AFF"
,"ADD1","PRT"
,"ADD2","PRT"
,"ADJ","N.AFF"
,"ADR","PRT"
,"ADV","PRT"
,"ALL","PREP"
,"APUD","POST"
,"CARIT","PREP"
,"CAUSE","POST"
,"COM","POST"
,"COMP","N.AFF"
,"COMPL","CONJ"
,"CONT1","PREP"
,"CONT2","PREP"
,"COORD1","CONJ"
,"COORD2","CONJ"
,"COORD3","CONJ"
,"COORD4","CONJ"
,"COORD5","CONJ"
,"D1\.F\.SG\.O","DEM"
,"D1\.LOC","DEM.LOC"
,"D1\.M(\.SG)?\.O","DEM"
,"D1\.PL","DEM"
,"D1\.PL\.O","DEM"
,"D1\.PTCL","DEM"
,"D1\.SG","DEM"
,"D2\.F\.SG\.O","DEM"
,"D2\.LOC","DEM.LOC"
,"D2\.M(\.SG)?\.O","DEM"
,"D2\.PL","DEM"
,"D2\.PL\.O","DEM"
,"D2\.PTCL","DEM"
,"D2\.SG","DEM"
,"D3","DEM"
,"D3\.F\.SG","DEM"
,"D3\.F\.SG\.O","DEM"
,"D3\.LOC","DEM.LOC"
,"D3\.M(\.SG)?","DEM"
,"D3\.M(\.SG)?\.O","DEM"
,"D3\.PL","DEM"
,"D3\.PL\.O","DEM"
,"D3\.PTCL\.M","DEM"
,"DAT","POST"
,"DIM","N.AFF"
,"DIR","POST"
,"DOWN","PREP"
,"EL","PREP"
,"EMPH","PRT"
,"EQ","PREP"
,"EZ","POST"
,"FUT","PRT"
,"GOAL","PREP"
,"HB","N.AFF"
,"HEZ","PRT"
,"INC","PRT"
,"INDEF","PRO"
,"INF","NMLZ"
,"INT","PRT"
,"KIND","POST"
,"LIM1","PREP"
,"LIM2","POST"
,"LOC","POST"
,"NEG","V.AFF"
,"NEG\.IRR","V.AFF"
,"NEG\.N","N.AFF"
,"NEG\.Q","PRT"
,"OR","CONJ"
,"ORD","N.AFF"
,"ORIG","N.AFF"
,"OWN","N.AFF"
,"P\.LOC","POST"
,"PF","T"
,"PF\.F/PL","T"
,"PF\.M(\.SG)?","T"
,"PL","N.AFF"
,"PLACE","N.AFF"
,"PQP","T"
,"PRN\.1SG","PERS"
,"PRN\.1SG\.O","PERS"
,"PRN\.1PL","PERS"
,"PRN\.2PL","PERS"
,"PRN\.2SG","PERS"
,"PROL","POST"
"či","PROSP","V.AFF"
"ta.*","PROSP","PRT"
,"PRS\.1PL","V.AGR"
,"PRS\.1SG","V.AGR"
,"PRS\.2PL","V.AGR"
,"PRS\.2SG","V.AGR"
,"PRS\.3PL","V.AGR"
,"PRS\.3SG","V.AGR"
,"PST","T"
,"PTCL","PRT"
,"PTCP\.AGN","NMLZ"
,"PTCP1","NMLZ"
,"PTCP2","NMLZ"
,"PURP","NMLZ"
,"Q","PRT"
,"QUOT","PRT"
,"RECP","PRO"
,"REDUP","?"
,"REFL","PRO"
,"SELF","PRO"
,"SIMIL","PRO"
,"SUBD1","CONJ"
,"SUBD2","CONJ"
,"SUBD3","CONJ"
,"SUP","POST"
,"TIME1","N.AFF"
,"TIME2","POST"
,"UP","PREP"
,"VOC","PRT"
,".+\.IMP","V"
,"one","NUM"
,"two","NUM"
,"three","NUM"
,"four","NUM"
,"five","NUM"
,"six","NUM"
,"seven","NUM"
,"eight","NUM"
,"nine","NUM"
,"ten","NUM"
,"eleven","NUM"
,"twelve","NUM"
,"thirteen","NUM"
,"fourteen","NUM"
,"fifteen","NUM"
,"sixteen","NUM"
,"seventeen","NUM"
,"eighteen","NUM"
,"nineteen","NUM"
,"twenty","NUM"
,"hundred","NUM"
,"thousand","NUM"
,"every|each","PRO"
,"such|so","PRO"
,"this_much|thus_much","PRO"
,"none","PRO"
,"who(\.O)?","PRO"
,"thing","? PRO / N"
,"what","PRO"
,"which","PRO"
,"why","PRO"
,"how","PRO"
,"where","PRO"
,"how_much","PRO"
,"at_all|hardly","PRO"
,"some","PRO"
,"all","PRO"
,"other","PRO"
,"yes","PRT"
,"no","PRT"
,"isnt_it","PRT"
,"if","CONJ"
,"let","? CONJ / PV"
"nog(in)?","hope","PRT"
,"still","PRT"
,"thus|therefore","PRT"
,"then|after","? PRT / N"
,"once","PRT"
,"now","PRT"
,"again","PRT"
,"a_little","PRT"
,"much","? PRO / N"
,"unit","N"
,"turns_out","PRT"
,"maybe","PRT"
,"must","PRT"
,"necessary","N"
,"known","N"
,"there_is","V"
,"before","? POST / N"
,"inside","N"
,"most","N"
,"almost","N"
,"be(\.[A-Z0-9]+)*","V"
,"do(\.[A-Z0-9]+)*","V"
,"(become|go)(\.[A-Z0-9]+)*","V"
,"leave(\.[A-Z0-9]+)*","V"
"dāk?","give(_away)?(_out)?(\.[A-Z0-9]+)*","PV"
"δ.*","give(_away)?(_out)?(\.[A-Z0-9]+)*","V"
,"fall(_down)?(\.[A-Z0-9]+)*","V"
,"come(\.[A-Z0-9]+)*","V"
,"go_out(\.[A-Z0-9]+)*","V"
,"sit(\.[A-Z0-9]+)*","V"
,"stand(\.[A-Z0-9]+)*","V"
,"get(_up|_down)?(\.[A-Z0-9]+)*","V"
,"say(\.[A-Z0-9]+)*","V"
,"see(\.[A-Z0-9]+)*","V"
,"look(\.[A-Z0-9]+)*","V"
,"understand(\.[A-Z0-9]+)*","V"
,"reach(\.[A-Z0-9]+)*","V"
,"keep(\.[A-Z0-9]+)*","V"
,"carry(\.[A-Z0-9]+)*","V"
,"take(\.[A-Z0-9]+)*","V"
,"let(\.[A-Z0-9]+)*","? PV / CONJ"
,"put(\.[A-Z0-9]+)*","V"
,"lay(\.[A-Z0-9]+)*","V"
,"eat(\.[A-Z0-9]+)*","V"
,"read(\.[A-Z0-9]+)*","V"
,"enter(\.[A-Z0-9]+)*","V"
,"be_able(\.[A-Z0-9]+)*","V"
,"bring(\.[A-Z0-9]+)*","V"
,"climb(_up)?(\.[A-Z0-9]+)*","V"
"d.*","hit(\.[A-Z0-9]+)*","V"
,"disappear(\.[A-Z0-9]+)*","V"
,"lose(\.[A-Z0-9]+)*","V"
,"pass(\.[A-Z0-9]+)*","V"
,"ask(_for)?(\.[A-Z0-9]+)*","V"
,"be_left(\.[A-Z0-9]+)*","V"
,"be_possible(\.[A-Z0-9]+)*","V"
,"cry(\.[A-Z0-9]+)*","V"
"g.x.*","turn(_away)?(\.[A-Z0-9]+)*","V"
,"forget(\.[A-Z0-9]+)*","V"
,"gather(\.[A-Z0-9]+)*","V"
,"have(\.[A-Z0-9]+)*","V"
,"hear(\.[A-Z0-9]+)*","V"
"š.n","laugh(\.[A-Z0-9]+)*","V"
"sen","lift(\.[A-Z0-9]+)*","V"
,"pull(\.[A-Z0-9]+)*","V"
"bêx̌","play(\.[A-Z0-9]+)*","V"
"boz","send(\.[A-Z0-9]+)*","V"
"rim.*","order(\.[A-Z0-9]+)*","V"
"nêδ","seat(\.[A-Z0-9]+)*","V"
,"seem(\.[A-Z0-9]+)*","V"
,"stay(\.[A-Z0-9]+)*","V"
,"throw(\.[A-Z0-9]+)*","V"
,"touch(\.[A-Z0-9]+)*","V"
,"want(\.[A-Z0-9]+)*","V"
,"write(\.[A-Z0-9]+)*","V"
,"back","N"
"d.m","breath","N"
,"moment","N"
,"city","N"
,"sun","N"
,"husband","N"
,"immediately","N"
,"just","N"
,"answer","N"
,"question","N"
,"apple","N"
,"aunt","N"
,"bad","N"
,"ball","N"
,"basket","N"
,"beautiful","N"
,"before","? POST / N"
,"big","N"
,"black","N"
,"blue","N"
,"book","N"
,"both","NUM"
,"boy","N"
,"brother","N"
,"calf","N"
,"calm","N"
,"car","N"
,"cat","N"
,"child(\.F|\.M|\.PL)?","N"
,"clean","N"
"sof","clear","N"
"nazd.*","close","N"
,"clothes","N"
"gax̌t","coming_back","N"
,"daughter","N"
,"day","N"
,"difference","N"
"qoq","dry","N"
,"earth","N"
"xol.*","empty","N"
,"evening","N"
,"example","N"
,"eye","N"
,"far","N"
"ǰ.ld|tez","fast","N"
,"father","N"
"x̌?o.*","fear","N"
,"finished","N"
,"fixed","N"
,"food","N"
,"foot","N"
"maǰb.*","force","N"
,"forgiveness","N"
,"friend","N"
,"full","N"
,"garden","N"
,"gathered","N"
,"girl","N"
,"goat","N"
,"[Gg]od","N"
,"good","N"
,"gratitude","N"
,"hand","N"
,"happy","N"
,"head","N"
,"hello","N"
"y.rd.m","help","N"
".meδ","hope","N"
,"horse|stallion|mare","N"
,"hour","N"
